Sector,Industry,LastSale
Capital Goods,Engineering & Construction,18.76
Capital Goods,Electronic Components,8.26
Capital Goods,Electronic Components,9.43
Capital Goods,Electronic Components,18.33
Capital Goods,Electronic Components,24.82
Capital Goods,Electronic Components,39.95
Capital Goods,Electronic Components,99.34
Capital Goods,Electrical Products,1.15
Capital Goods,Electrical Products,1.95
Capital Goods,Electrical Products,3.81
Capital Goods,Electrical Products,4.42
Capital Goods,Electrical Products,7.42
Capital Goods,Electrical Products,10.21
Capital Goods,Electrical Products,21
Capital Goods,Electrical Products,21.68
Capital Goods,Electrical Products,22.67
Capital Goods,Electrical Products,24.44
Capital Goods,Electrical Products,31.85
Capital Goods,Electrical Products,47.37
Capital Goods,Electrical Products,53.16
Capital Goods,Electrical Products,54.63
Capital Goods,Electrical Products,59.08
Capital Goods,Electrical Products,116.95
Capital Goods,Containers/Packaging,3.59
Capital Goods,Containers/Packaging,35.77
Capital Goods,Construction/Ag Equipment/Trucks,4.87
Capital Goods,Construction/Ag Equipment/Trucks,11.45
Capital Goods,Construction/Ag Equipment/Trucks,24.66
Capital Goods,Construction/Ag Equipment/Trucks,37.18
Capital Goods,Construction/Ag Equipment/Trucks,50.65
Capital Goods,Building Products,20.73
Capital Goods,Building Materials,1.35
Capital Goods,Building Materials,1.4
Capital Goods,Building Materials,1.42
Capital Goods,Building Materials,7.34
Capital Goods,Building Materials,17.18
Capital Goods,Building Materials,41
Capital Goods,Biotechnology: Laboratory Analytical Instruments,0.375
Capital Goods,Biotechnology: Laboratory Analytical Instruments,1.14
Capital Goods,Biotechnology: Laboratory Analytical Instruments,2.5125
Capital Goods,Biotechnology: Laboratory Analytical Instruments,2.61
Capital Goods,Biotechnology: Laboratory Analytical Instruments,3.37
Capital Goods,Biotechnology: Laboratory Analytical Instruments,4.16
Capital Goods,Biotechnology: Laboratory Analytical Instruments,4.38
Capital Goods,Biotechnology: Laboratory Analytical Instruments,4.69
Capital Goods,Biotechnology: Laboratory Analytical Instruments,6.84
Capital Goods,Biotechnology: Laboratory Analytical Instruments,7.59
Capital Goods,Biotechnology: Laboratory Analytical Instruments,18.17
Capital Goods,Biotechnology: Laboratory Analytical Instruments,20.16
Capital Goods,Biotechnology: Laboratory Analytical Instruments,33.6
Capital Goods,Biotechnology: Laboratory Analytical Instruments,157.7
Capital Goods,Biotechnology: Laboratory Analytical Instruments,329.52
Capital Goods,Auto Parts:O.E.M.,0.526
Capital Goods,Auto Parts:O.E.M.,3.5096
Capital Goods,Auto Parts:O.E.M.,4.05
Capital Goods,Auto Parts:O.E.M.,9.21
Capital Goods,Auto Parts:O.E.M.,20.35
Capital Goods,Auto Parts:O.E.M.,22.44
Capital Goods,Auto Parts:O.E.M.,35.6
Capital Goods,Auto Parts:O.E.M.,41.45
Capital Goods,Auto Parts:O.E.M.,43.11
Capital Goods,Auto Parts:O.E.M.,68.1
Capital Goods,Auto Parts:O.E.M.,71.32
Capital Goods,Auto Parts:O.E.M.,88.49
Capital Goods,Auto Manufacturing,0.3617
Capital Goods,Auto Manufacturing,1.09
Capital Goods,Auto Manufacturing,2.8
Capital Goods,Auto Manufacturing,5.82
Capital Goods,Auto Manufacturing,13.75
Capital Goods,Auto Manufacturing,67.98
Capital Goods,Auto Manufacturing,261.95
Capital Goods,Aerospace,6.79
Capital Goods,Aerospace,62.97
Capital Goods,Aerospace,102.07
Consumer Durables,Telecommunications Equipment,0.55
Consumer Durables,Telecommunications Equipment,1.25
Consumer Durables,Telecommunications Equipment,3.45
Consumer Durables,Telecommunications Equipment,3.67
Consumer Durables,Telecommunications Equipment,3.91
Consumer Durables,Telecommunications Equipment,4.87
Consumer Durables,Telecommunications Equipment,5.6
Consumer Durables,Telecommunications Equipment,6.63
Consumer Durables,Telecommunications Equipment,14.3
Consumer Durables,Telecommunications Equipment,17.61
Consumer Durables,Telecommunications Equipment,20.77
Consumer Durables,Telecommunications Equipment,54.92
Consumer Durables,Telecommunications Equipment,756.43
Consumer Durables,Specialty Chemicals,0.97
Consumer Durables,Specialty Chemicals,1.55
Consumer Durables,Specialty Chemicals,3.35
Consumer Durables,Specialty Chemicals,4.02
Consumer Durables,Specialty Chemicals,4.21
Consumer Durables,Specialty Chemicals,5.05
Consumer Durables,Specialty Chemicals,6.49
Consumer Durables,Specialty Chemicals,9.56
Consumer Durables,Specialty Chemicals,9.77
Consumer Durables,Specialty Chemicals,11.98
Consumer Durables,Specialty Chemicals,12.75
Consumer Durables,Specialty Chemicals,20.16
Consumer Durables,Specialty Chemicals,39.1
Consumer Durables,Specialty Chemicals,42.68
Consumer Durables,Specialty Chemicals,146.91
Consumer Durables,Office Equipment/Supplies/Services,36.99
Consumer Durables,Miscellaneous manufacturing industries,0.0108
Consumer Durables,Miscellaneous manufacturing industries,0.35
Consumer Durables,Miscellaneous manufacturing industries,1.281
Consumer Durables,Miscellaneous manufacturing industries,1.37
Consumer Durables,Miscellaneous manufacturing industries,2.3
Consumer Durables,Miscellaneous manufacturing industries,3.43
Consumer Durables,Miscellaneous manufacturing industries,7.35
Consumer Durables,Metal Fabrications,7.06
Consumer Durables,Metal Fabrications,46.46
Consumer Durables,Industrial Specialties,1.17
Consumer Durables,Industrial Specialties,2.2292
Consumer Durables,Industrial Specialties,4.54
Consumer Durables,Industrial Specialties,26.99
Consumer Durables,Industrial Specialties,34.02
Consumer Durables,Industrial Specialties,34.43
Consumer Durables,Industrial Specialties,155.76
Consumer Durables,Home Furnishings,1.7
Consumer Durables,Home Furnishings,1.72
Consumer Durables,Home Furnishings,5.4
Consumer Durables,Home Furnishings,16.52
Consumer Durables,Home Furnishings,21.36
Consumer Durables,Home Furnishings,22.15
Consumer Durables,Home Furnishings,29.6
Consumer Durables,Home Furnishings,32.7
Consumer Durables,Home Furnishings,35.93
Consumer Durables,Home Furnishings,125.26
Consumer Durables,Electronic Components,9.5734
Consumer Durables,Electrical Products,0.95
Consumer Durables,Electrical Products,2.21
Consumer Durables,Electrical Products,4.94
Consumer Durables,Electrical Products,34.2
Consumer Durables,Electrical Products,186.98
Consumer Durables,Diversified Electronic Products,3.6
Consumer Durables,Containers/Packaging,27.35
Consumer Durables,Consumer Specialties,0.879
Consumer Durables,Consumer Specialties,11.66
Consumer Durables,Consumer Specialties,21.63
Consumer Durables,Consumer Specialties,32.21
Consumer Durables,Consumer Specialties,35.43
Consumer Durables,Consumer Electronics/Appliances,8.4
Consumer Durables,Consumer Electronics/Appliances,106.06
Consumer Durables,Consumer Electronics/Appliances,142.8
Consumer Durables,Building Products,1.12
Consumer Durables,Building Products,1.93
Consumer Durables,Building Products,2.6
Consumer Durables,Building Products,4.53
Consumer Durables,Automotive Aftermarket,5.09
Consumer Durables,Automotive Aftermarket,7.19
Consumer Durables,Automotive Aftermarket,22.11
Consumer Durables,Automotive Aftermarket,24.4699
Consumer Durables,Automotive Aftermarket,24.5
Consumer Durables,Automotive Aftermarket,24.57
Consumer Durables,Automotive Aftermarket,38.57
Consumer Durables,Automotive Aftermarket,38.7
Consumer Durables,Automotive Aftermarket,51.89
Consumer Durables,Automotive Aftermarket,75.65
Consumer Durables,Automotive Aftermarket,123.4
Consumer Non-Durables,Textiles,2.5025
Consumer Non-Durables,Textiles,9.47
Consumer Non-Durables,Textiles,19.14
Consumer Non-Durables,Textiles,19.41
Consumer Non-Durables,Textiles,25.05
Consumer Non-Durables,Textiles,25.34
Consumer Non-Durables,Telecommunications Equipment,7.95
Consumer Non-Durables,Specialty Foods,10.05
Consumer Non-Durables,Specialty Foods,16.4852
Consumer Non-Durables,Specialty Foods,68.9
Consumer Non-Durables,Specialty Foods,146.79
Consumer Non-Durables,Shoe Manufacturing,0.299
Consumer Non-Durables,Shoe Manufacturing,19.13
Consumer Non-Durables,Shoe Manufacturing,26.18
Consumer Non-Durables,Shoe Manufacturing,49.15
Consumer Non-Durables,Recreational Products/Toys,2.31
Consumer Non-Durables,Recreational Products/Toys,6.9666
Consumer Non-Durables,Recreational Products/Toys,8.8264
Consumer Non-Durables,Recreational Products/Toys,10.75
Consumer Non-Durables,Recreational Products/Toys,12.5
Consumer Non-Durables,Recreational Products/Toys,14.52
Consumer Non-Durables,Recreational Products/Toys,19.47
Consumer Non-Durables,Recreational Products/Toys,84.29
Consumer Non-Durables,Recreational Products/Toys,101.64
Consumer Non-Durables,Plastic Products,1.53
Consumer Non-Durables,Plastic Products,3.38
Consumer Non-Durables,Plastic Products,3.94
Consumer Non-Durables,Plastic Products,28.03
Consumer Non-Durables,Packaged Foods,0.12
Consumer Non-Durables,Packaged Foods,1.005
Consumer Non-Durables,Packaged Foods,1.08
Consumer Non-Durables,Packaged Foods,1.51
Consumer Non-Durables,Packaged Foods,2.6
Consumer Non-Durables,Packaged Foods,2.79
Consumer Non-Durables,Packaged Foods,5.27
Consumer Non-Durables,Packaged Foods,6.92
Consumer Non-Durables,Packaged Foods,10.86
Consumer Non-Durables,Packaged Foods,13.4
Consumer Non-Durables,Packaged Foods,18.28
Consumer Non-Durables,Packaged Foods,24.63
Consumer Non-Durables,Packaged Foods,26.32
Consumer Non-Durables,Packaged Foods,31.83
Consumer Non-Durables,Packaged Foods,32.79
Consumer Non-Durables,Packaged Foods,34.6
Consumer Non-Durables,Packaged Foods,42.42
Consumer Non-Durables,Packaged Foods,55.89
Consumer Non-Durables,Packaged Foods,146.91
Consumer Non-Durables,Package Goods/Cosmetics,16
Consumer Non-Durables,Package Goods/Cosmetics,60.33
Consumer Non-Durables,Motor Vehicles,3.69
Consumer Non-Durables,Motor Vehicles,66.13
Consumer Non-Durables,Meat/Poultry/Fish,17.77
Consumer Non-Durables,Meat/Poultry/Fish,101.39
Consumer Non-Durables,Food Distributors,1.39
Consumer Non-Durables,Food Distributors,4.37
Consumer Non-Durables,Food Distributors,6.9
Consumer Non-Durables,Food Distributors,14.7
Consumer Non-Durables,Food Distributors,16.51
Consumer Non-Durables,Food Distributors,18.91
Consumer Non-Durables,Food Distributors,29.43
Consumer Non-Durables,Food Distributors,33.57
Consumer Non-Durables,Food Distributors,38.31
Consumer Non-Durables,Food Chains,2.87
Consumer Non-Durables,Farming/Seeds/Milling,0.9297
Consumer Non-Durables,Farming/Seeds/Milling,1.95
Consumer Non-Durables,Farming/Seeds/Milling,2.76
Consumer Non-Durables,Farming/Seeds/Milling,6.29
Consumer Non-Durables,Farming/Seeds/Milling,25.57
Consumer Non-Durables,Farming/Seeds/Milling,33.74
Consumer Non-Durables,Farming/Seeds/Milling,44.38
Consumer Non-Durables,Farming/Seeds/Milling,97.28
Consumer Non-Durables,Environmental Services,72.99
Consumer Non-Durables,Electronic Components,1.95
Consumer Non-Durables,Electronic Components,2.2
Consumer Non-Durables,Electronic Components,2.86
Consumer Non-Durables,Electronic Components,5.33
Consumer Non-Durables,Electronic Components,8.15
Consumer Non-Durables,Electronic Components,8.64
Consumer Non-Durables,Electronic Components,14.6
Consumer Non-Durables,Electronic Components,33.9
Consumer Non-Durables,Electronic Components,42.75
Consumer Non-Durables,Consumer Specialties,21.44
Consumer Non-Durables,Consumer Electronics/Appliances,2.83
Consumer Non-Durables,Consumer Electronics/Appliances,3
Consumer Non-Durables,Consumer Electronics/Appliances,7.48
Consumer Non-Durables,Consumer Electronics/Appliances,14.35
Consumer Non-Durables,Consumer Electronics/Appliances,37.4
Consumer Non-Durables,Beverages (Production/Distribution),0.8
Consumer Non-Durables,Beverages (Production/Distribution),1.95
Consumer Non-Durables,Beverages (Production/Distribution),3.86
Consumer Non-Durables,Beverages (Production/Distribution),4.6999
Consumer Non-Durables,Beverages (Production/Distribution),7.85
Consumer Non-Durables,Beverages (Production/Distribution),7.95
Consumer Non-Durables,Beverages (Production/Distribution),8.47
Consumer Non-Durables,Beverages (Production/Distribution),17.32
Consumer Non-Durables,Beverages (Production/Distribution),56.19
Consumer Non-Durables,Beverages (Production/Distribution),74.79
Consumer Non-Durables,Beverages (Production/Distribution),106.26
Consumer Non-Durables,Beverages (Production/Distribution),106.49
Consumer Non-Durables,Beverages (Production/Distribution),164.31
Consumer Non-Durables,Apparel,0.7945
Consumer Non-Durables,Apparel,1.57
Consumer Non-Durables,Apparel,2.39
Consumer Non-Durables,Apparel,3.25
Consumer Non-Durables,Apparel,3.82
Consumer Non-Durables,Apparel,4.22
Consumer Non-Durables,Apparel,5.38
Consumer Non-Durables,Apparel,7.3
Consumer Non-Durables,Apparel,13.85
Consumer Non-Durables,Apparel,18.77
Consumer Non-Durables,Apparel,27.4
Consumer Non-Durables,Apparel,31.24
Consumer Non-Durables,Apparel,40.23
Consumer Non-Durables,Apparel,89.53
Consumer Non-Durables,Apparel,153.84
Consumer Non-Durables,Apparel,195.9
Consumer Services,Transportation Services,0.74
Consumer Services,Transportation Services,1.86
Consumer Services,Transportation Services,3.87
Consumer Services,Transportation Services,5.24
Consumer Services,Transportation Services,6.89
Consumer Services,Transportation Services,7.73
Consumer Services,Transportation Services,14.5
Consumer Services,Transportation Services,24.76
Consumer Services,Transportation Services,67.81
Consumer Services,Transportation Services,123.73
Consumer Services,Television Services,3.45
Consumer Services,Television Services,13.65
Consumer Services,Television Services,21.14
Consumer Services,Television Services,21.52
Consumer Services,Television Services,26.04
Consumer Services,Television Services,26.66
Consumer Services,Television Services,29.1
Consumer Services,Television Services,30.24
Consumer Services,Television Services,32.6
Consumer Services,Television Services,32.93
Consumer Services,Television Services,34.3
Consumer Services,Television Services,34.56
Consumer Services,Television Services,35
Consumer Services,Television Services,35.8
Consumer Services,Television Services,45.83
Consumer Services,Television Services,46.11
Consumer Services,Television Services,63.55
Consumer Services,Television Services,66.94
Consumer Services,Television Services,80.9
Consumer Services,Television Services,81.2
Consumer Services,Television Services,316.04
Consumer Services,Telecommunications Equipment,0.53
Consumer Services,Telecommunications Equipment,2.66
Consumer Services,Telecommunications Equipment,2.82
Consumer Services,Telecommunications Equipment,5.59
Consumer Services,Telecommunications Equipment,9.5887
Consumer Services,Telecommunications Equipment,10.1
Consumer Services,Telecommunications Equipment,19.55
Consumer Services,Telecommunications Equipment,33.88
Consumer Services,Telecommunications Equipment,55.03
Consumer Services,Services-Misc. Amusement & Recreation,0.376
Consumer Services,Services-Misc. Amusement & Recreation,5.11
Consumer Services,Services-Misc. Amusement & Recreation,15.35
Consumer Services,Services-Misc. Amusement & Recreation,24.02
Consumer Services,Services-Misc. Amusement & Recreation,36.81
Consumer Services,Services-Misc. Amusement & Recreation,275.42
Consumer Services,Services-Misc. Amusement & Recreation,300.62
Consumer Services,RETAIL: Building Materials,3.83
Consumer Services,RETAIL: Building Materials,4.04
Consumer Services,RETAIL: Building Materials,9.02
Consumer Services,RETAIL: Building Materials,13.96
Consumer Services,RETAIL: Building Materials,18.16
Consumer Services,RETAIL: Building Materials,33.34
Consumer Services,RETAIL: Building Materials,56.49
Consumer Services,RETAIL: Building Materials,87.65
Consumer Services,Restaurants,0.34
Consumer Services,Restaurants,0.44
Consumer Services,Restaurants,1.41
Consumer Services,Restaurants,2.1
Consumer Services,Restaurants,2.27
Consumer Services,Restaurants,2.44
Consumer Services,Restaurants,3.45
Consumer Services,Restaurants,3.57
Consumer Services,Restaurants,4.55
Consumer Services,Restaurants,5.06
Consumer Services,Restaurants,5.93
Consumer Services,Restaurants,6.37
Consumer Services,Restaurants,6.9999
Consumer Services,Restaurants,7.88
Consumer Services,Restaurants,8.59
Consumer Services,Restaurants,8.85
Consumer Services,Restaurants,10.17
Consumer Services,Restaurants,11.07
Consumer Services,Restaurants,11.37
Consumer Services,Restaurants,12.15
Consumer Services,Restaurants,12.31
Consumer Services,Restaurants,13.64
Consumer Services,Restaurants,14.23
Consumer Services,Restaurants,15.4
Consumer Services,Restaurants,16.51
Consumer Services,Restaurants,17.26
Consumer Services,Restaurants,19.89
Consumer Services,Restaurants,22.9
Consumer Services,Restaurants,26
Consumer Services,Restaurants,27.84
Consumer Services,Restaurants,28.05
Consumer Services,Restaurants,29.86
Consumer Services,Restaurants,38.41
Consumer Services,Restaurants,43.31
Consumer Services,Restaurants,50.35
Consumer Services,Restaurants,51.57
Consumer Services,Restaurants,55.76
Consumer Services,Restaurants,63.79
Consumer Services,Restaurants,66.39
Consumer Services,Restaurants,67.59
Consumer Services,Restaurants,68.86
Consumer Services,Restaurants,71.33
Consumer Services,Restaurants,83.52
Consumer Services,Restaurants,84.13
Consumer Services,Restaurants,148.25
Consumer Services,Rental/Leasing Companies,2.6
Consumer Services,Rental/Leasing Companies,33.08
Consumer Services,Rental/Leasing Companies,34.15
Consumer Services,Rental/Leasing Companies,348.34
Consumer Services,Recreational Products/Toys,14.96
Consumer Services,Real Estate Investment Trusts,0.0098
Consumer Services,Real Estate Investment Trusts,4.16
Consumer Services,Real Estate Investment Trusts,4.31
Consumer Services,Real Estate Investment Trusts,4.35
Consumer Services,Real Estate Investment Trusts,5.92
Consumer Services,Real Estate Investment Trusts,6.3501
Consumer Services,Real Estate Investment Trusts,7.11
Consumer Services,Real Estate Investment Trusts,11.24
Consumer Services,Real Estate Investment Trusts,11.28
Consumer Services,Real Estate Investment Trusts,12.03
Consumer Services,Real Estate Investment Trusts,14.15
Consumer Services,Real Estate Investment Trusts,16.53
Consumer Services,Real Estate Investment Trusts,16.97
Consumer Services,Real Estate Investment Trusts,17.14
Consumer Services,Real Estate Investment Trusts,18.11
Consumer Services,Real Estate Investment Trusts,18.24
Consumer Services,Real Estate Investment Trusts,18.38
Consumer Services,Real Estate Investment Trusts,19.11
Consumer Services,Real Estate Investment Trusts,19.91
Consumer Services,Real Estate Investment Trusts,20.03
Consumer Services,Real Estate Investment Trusts,20.885
Consumer Services,Real Estate Investment Trusts,21.92
Consumer Services,Real Estate Investment Trusts,22.24
Consumer Services,Real Estate Investment Trusts,23.75
Consumer Services,Real Estate Investment Trusts,23.9
Consumer Services,Real Estate Investment Trusts,24.09
Consumer Services,Real Estate Investment Trusts,24.5
Consumer Services,Real Estate Investment Trusts,25
Consumer Services,Real Estate Investment Trusts,25.11
Consumer Services,Real Estate Investment Trusts,25.19
Consumer Services,Real Estate Investment Trusts,25.22
Consumer Services,Real Estate Investment Trusts,25.26
Consumer Services,Real Estate Investment Trusts,25.57
Consumer Services,Real Estate Investment Trusts,25.8364
Consumer Services,Real Estate Investment Trusts,27.44
Consumer Services,Real Estate Investment Trusts,27.75
Consumer Services,Real Estate Investment Trusts,34.61
Consumer Services,Real Estate Investment Trusts,38.5
Consumer Services,Real Estate Investment Trusts,61.99
Consumer Services,Real Estate Investment Trusts,76.02
Consumer Services,Real Estate Investment Trusts,152.82
Consumer Services,Real Estate Investment Trusts,417.32
Consumer Services,Real Estate,14.1
Consumer Services,Real Estate,18.69
Consumer Services,Real Estate,22.889
Consumer Services,Real Estate,24.15
Consumer Services,Real Estate,24.2355
Consumer Services,Real Estate,24.922
Consumer Services,Real Estate,26.5768
Consumer Services,Real Estate,27
Consumer Services,Publishing,11.5
Consumer Services,Professional Services,0.9126
Consumer Services,Professional Services,4.42
Consumer Services,Professional Services,6.02
Consumer Services,Professional Services,6.8201
Consumer Services,Professional Services,18.9
Consumer Services,Professional Services,19.85
Consumer Services,Professional Services,48.55
Consumer Services,Professional Services,50.97
Consumer Services,Professional Services,72.82
Consumer Services,Professional Services,86.05
Consumer Services,Paper,12.71
Consumer Services,Other Specialty Stores,0.49
Consumer Services,Other Specialty Stores,0.49
Consumer Services,Other Specialty Stores,1.47
Consumer Services,Other Specialty Stores,1.5
Consumer Services,Other Specialty Stores,2.96
Consumer Services,Other Specialty Stores,5.11
Consumer Services,Other Specialty Stores,5.23
Consumer Services,Other Specialty Stores,9.69
Consumer Services,Other Specialty Stores,10.14
Consumer Services,Other Specialty Stores,10.52
Consumer Services,Other Specialty Stores,11
Consumer Services,Other Specialty Stores,11.16
Consumer Services,Other Specialty Stores,11.99
Consumer Services,Other Specialty Stores,14.02
Consumer Services,Other Specialty Stores,16.13
Consumer Services,Other Specialty Stores,18.49
Consumer Services,Other Specialty Stores,23.62
Consumer Services,Other Specialty Stores,24.04
Consumer Services,Other Specialty Stores,77.47
Consumer Services,Other Specialty Stores,160.3
Consumer Services,Other Specialty Stores,208.24
Consumer Services,Other Specialty Stores,269.85
Consumer Services,Other Specialty Stores,340.82
Consumer Services,Other Consumer Services,0.0199
Consumer Services,Other Consumer Services,0.1728
Consumer Services,Other Consumer Services,0.2396
Consumer Services,Other Consumer Services,0.25
Consumer Services,Other Consumer Services,0.9
Consumer Services,Other Consumer Services,1.07
Consumer Services,Other Consumer Services,1.085
Consumer Services,Other Consumer Services,1.45
Consumer Services,Other Consumer Services,1.63
Consumer Services,Other Consumer Services,1.85
Consumer Services,Other Consumer Services,2.17
Consumer Services,Other Consumer Services,2.32
Consumer Services,Other Consumer Services,2.45
